Period,Crypto Token,Fiat Currency,Buy Orders,Total Buy Quantity,Total Buy Amount,Buy Transaction Fee,Sell Orders,Total Sell Quantity,Total Sell Amount,Sell Transaction Fee,Total Transaction Fee,PnL
Total,Total,INR,,,,,,,,,0.00,0.00
2024-05-01-2025-03-31,FDUSD,INR,27,681.23000000,67000.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
2024-05-01-2025-03-31,ETH,INR,2,0.03488486,9000.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
2024-05-01-2025-03-31,BNB,INR,40,2.74663721,148800.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
2024-05-01-2025-03-31,USDC,INR,2,40.15867119,4000.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
2024-05-01-2025-03-31,SOL,INR,2,0.51909569,7000.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
2024-05-01-2025-03-31,USDT,INR,3,126.99000000,11500.00,0.00,0,0E-8,0.00,0.00,0.00,0.00
